"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Order"	"Dataset"	"Comparison"	"Author"
"DAP1_1759"	1.01816909228742e-05	1.65717625697822e-09	-6.23290509248048	11.1298927828757	-0.840753396029251	"PLA2G7"	"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"	1	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_5670"	1.9757380588238e-05	6.43143899356707e-09	5.98789337858965	9.88794812039172	0.491370428422155	"MYBPC1"	"myosin binding protein C, slow type"	2	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_2342"	0.000377335542119292	1.84245870175435e-07	-5.34729997679775	6.82386985405012	-0.443328108672929	"SHMT2"	"serine hydroxymethyltransferase 2 (mitochondrial)"	3	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2705"	0.000851762178171007	6.67078470402033e-07	5.08587512407155	5.6532743838967	0.605770637408574	"SERPINA3"	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"	4	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_0991"	0.000851762178171007	6.9719757783724e-07	5.07672047880869	5.61315181346962	0.646117554858941	"BCAS1"	"breast carcinoma amplified sequence 1"	5	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_2857"	0.000851762178171007	8.31799002120124e-07	-5.03999993780562	5.45281305033447	-0.439171891327055	"GP1BB"	"glycoprotein Ib (platelet), beta polypeptide"	6	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_1267"	0.00123278353041837	1.40453852749489e-06	4.92978769236484	4.97736172073271	0.270381400208992	"RPE65"	"retinal pigment epithelium-specific protein 65kDa"	7	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3709"	0.00142835122855727	1.86138754682629e-06	4.8697486248087	4.72203579068831	0.658991640543363	"EHHADH"	"enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase"	8	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_0864"	0.00142835122855727	2.17129917976458e-06	4.83667182233853	4.58248847887105	0.337891849529784	"SEMA3F"	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"	9	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_0952"	0.00142835122855727	2.32479041106327e-06	4.82194516480814	4.52061471615424	0.503777951933126	"EYA1"	"eyes absent homolog 1 (Drosophila)"	10	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_5615"	0.00181457126816835	3.24874413246287e-06	4.74928407194706	4.21765273872949	0.498870428422151	"SLC1A1"	"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1"	11	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2789"	0.00234022998308929	4.57076168572127e-06	-4.67424872393239	3.90886767815879	-0.253196447230932	"CAND1"	"cullin-associated and neddylation-dissociated 1"	12	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_4227"	0.0028382798045828	6.05615390730867e-06	4.61168899981892	3.65461184734381	0.538873563218385	"FMO5"	"flavin containing monooxygenase 5"	13	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_5736"	0.0028382798045828	6.46743445054675e-06	-4.59698573717891	3.59527787310367	-0.523418495297818	"PMS2L3"	"postmeiotic segregation increased 2-like 3"	14	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_4857"	0.0030180786155515	7.36835599499879e-06	4.56769189473897	3.47754649777717	0.374794670846393	"ITPR2"	"inositol 1,4,5-triphosphate receptor, type 2"	15	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2003"	0.00312833596354256	8.14670823839208e-06	4.54503490446265	3.38692955303637	0.599598746081512	"HSD17B6"	"hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse)"	16	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3860"	0.00343581195254351	9.50664114473302e-06	-4.51002981336125	3.24768477691292	-0.214258620689669	"STIP1"	"stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)"	17	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_4029"	0.00417701473010111	1.22373478420931e-05	-4.4523094626334	3.02010146741934	-0.333764890282122	"FOLH1"	"folate hydrolase (prostate-specific membrane antigen) 1"	18	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_0620"	0.0042754756683264	1.41863317422369e-05	-4.41825158844438	2.88700026205533	-0.223626436781595	"NDRG1"	"N-myc downstream regulated gene 1"	19	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_0978"	0.0042754756683264	1.44119474618889e-05	4.41460313096944	2.87279405057105	0.251858934169283	"GMDS"	"GDP-mannose 4,6-dehydratase"	20	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_1787"	0.0042754756683264	1.4613442225725e-05	-4.41139073146119	2.86029413118482	-0.429050156739818	"MCM4"	"minichromosome maintenance complex component 4"	21	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_1762"	0.00448030631551358	1.60427634995603e-05	-4.38975213723658	2.776300016793	-0.347695402298855	"BGN"	"biglycan"	22	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_6038"	0.00452329256701189	1.69328986069781e-05	-4.37719171224114	2.72770828691023	-0.329919540229877	"TLE1"	"transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)"	23	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_5104"	0.00478782157390996	1.87024280230858e-05	-4.35399792206735	2.63829679591527	-0.378414315569476	"PRKAR1B"	"protein kinase, cAMP-dependent, regulatory, type I, beta"	24	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2868"	0.00573417502469683	2.33324179064813e-05	4.30202944013937	2.43945635891816	0.543706896551722	"GRIA3"	"glutamate receptor, ionotrophic, AMPA 3"	25	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_2857"	0.00631384285434771	2.67187360372787e-05	4.26994221274406	2.31772214037934	0.818184430512012	"ALOX15B"	"arachidonate 15-lipoxygenase, type B"	26	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP2_5397"	0.00659589312299216	2.89858584506491e-05	4.25056692823797	2.24459983069342	0.431166144200622	"SLC15A2"	"solute carrier family 15 (H+/peptide transporter), member 2"	27	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP4_3011"	0.00695796704595928	3.17094852354915e-05	-4.22912025883706	2.16399865069177	-0.503379310344831	"GPR116"	"G protein-coupled receptor 116"	28	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP3_4851"	0.00810313477584457	3.92435784094328e-05	4.1778648303621	1.97281485086038	0.323907001044933	"PRR4"	"proline rich 4 (lacrimal)"	29	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
"DAP1_4176"	0.00810313477584457	3.98548455065192e-05	-4.17412913775727	1.95896049680809	-0.398833333333334	"NOTCH3"	"Notch homolog 3 (Drosophila)"	30	"GSE16560"	"Lethal vs. Indolent"	"Sboner"
